;text;sentFator
2;PETR4 subiu na bolsa 13,50. Muito bem, surpreso com o resultado.;Positivo
3;$LREN3 - Lojas Renner (lren-nm) - Ago - 17/04/2014 - 11h00 - Dividendos http://t.co/3PJlEQcEpB;Neutro
4;vai, oibr4. um troux... ops... investidor precisa pagar as minhas férias.;Negativo
9;R$13 ... que ironia hein ? ,) #PETR4;Negativo
11;11/04/14 - 17:18: Maiores Altas: KROT3 4,17% R$48,75, CPLE6 3,62% R$30,94, AEDU3 3,44% R$13,55, PETR4 2,93% R$16,14, ALLL3 2,90% R$8,31.;Positivo
16;"A LIGHT S.A. fechou o dia de hoje ao preço de R$ 18,65 (-1,37%) com volume de R$ 22,14 mm.
$LIGT3";Neutro
22;$GOLL4 - GOL anuncia os resultados do 1T14 http://t.co/AVu5tnuZ96;Neutro
29;Plano de demissao voluntária na Petrobras já atrai 8mil… Depois vao reclamar que nao tem especialistas… petr4 virando OGX;Negativo
35;LREN3 caindo bem...;Neutro
36;Vamos ver se mesmo em dia fraco, ganha alguma força ...RT @Live_Trade: #ecor3 fechando 15'  acima 12,53 já fica interessante;Neutro
38;Ativo c/ vol Financeiro Superior à sua MM21-14h:  BBSE3 PINE4;Positivo
39;@Pardaldecastro  há fórum na net que vc pode entrar para aprender, basta cadastrar e não tenha vergonha de perguntar: http://t.co/aWBFGy2wQu;Positivo
41;A última indicação da #MRVE3 resultou em -1.36 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Negativo
43;Rastreamento ações-Gráfico diário-14h. Analise se romper:BRFS3 46,67 BRML3 19,81 BVMF3 11,20 CCRO3 17,73 CPFE3 19,13 CSMG3 36,79 ECOR3 13,87;Neutro
46;@acoes_petr4 ME DOE 35 mil reais p eu comprar uma casa,estou desempregada e com nome sujo p eu dar uma vida digna as minhas filhas;Negativo
49;Elet3 minha linda!!! Hoje vou beber um@vinho pra comemorar!!!;Positivo
51;@Folhaovento Petrobras PETR4 - Lula capitalizou em 2010 a R$ 26,30. Últimos 6 meses...Março na bacia das almas! http://t.co/l00d2g2AtO;Neutro
55;Organização Mundial de Saúde faz incentivo ao aumento dos impostos no tabaco para salvar mais vidas, efeito da notícia foi venda na #CRUZ3;Positivo
58;bonito ver o bradescão e o itaú brigando com o Morgan Stanley e o Credit Suiss no leilão final da ABEV3.;Positivo
62;$RENT3 - Localiza (rent-nm) - Demonstracoes Financeiras De 31/12/2013 (individual) http://t.co/CIl9uDCcBK;Neutro
64;Rastreamento ações-Gráfico diário-16h. Analise se romper: BBRK3 5,14 CPLE6 32,76 CYRE3 13,71 GOLL4 12,72 IGTA3 22,13 ITSA4 9,89 PCAR4 106,63;Neutro
65;A #PETR4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. Ineficiente, inflada e corrupta é quase um clone do gov.;Negativo
66;Coisas extraordinarias só acontecem a pessoas extraordinarias  -Ripchip;Negativo
67;@CaciqueInvest Goll4 deu tempo de sobra pra pegar rsrsr;Positivo
70;"Notas gerais

A PETROBRAS (PETR4) assinou com o Grupo Électricité de France contrato para a venda de sua... http://t.co/h3dMUjViMQ";Neutro
72;China anunciou um plano de incentivo à economia. O governo chinês pretende aumentar os investimentos em ferrovias e moradias. Bom p/ #VALE5.;Positivo
77;A última indicação da #MRFG3 resultou em -1.26 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
80;STF adiou o julgamento do caso dos bancos. Problema não resolvido, apenas postergado. Enquanto não resolver, não entro em ITUB4 nem BBAS3.;Negativo
82;De fato, a alta de ontem no after market sinalizou uma pequena melhora em VALE5 hoje, ao menos na abertura.;Neutro
85;$PETR3 - Petrobras (petr)- Candidatos Ind. Pelos Acionistas Nao Controladores P. Ca E Cf http://t.co/3ikzgdwt6j;Neutro
87;@DENISSITO @FernandoCesar77 @BlogdoNoblat Ações PETR3 e 4 valorizaram 12% no mês, desde início perseguição tucana. Brigaduu @rede_globo;Positivo
89;Kroton ON (#KROT3) é a ação que mais se valorizou no 1º trimestre. http://t.co/1uSfwwIMW0;Neutro
90;RT @SoNaquelaa: Já estou é a criar demasiadas expectativas, tenho que parar, senão vai correr mal outra vez;Positivo
91;No momento PETR4 respeita o suporte de R$15,42.;Neutro
92;Rastreamento ações-Gráfico diário-14h. Analise se romper:BEEF3 10,52 BRAP4 21,55 CESP6 27,77 ELPL4 9,18 ENBR3 10,59  IGTA3 22,08 LIGT3 19,05;Neutro
94;A última indicação da #ITUB4 resultou em 0.14 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
95;Resultado corporativo da #TRACTEBEL (TBLE3). Confira a nossa visão sobre os dados divulgados pela empresa. http://t.co/wifhNsopqt;Neutro
96;"Petrobras surpreende: Novo recorde no pré-sal

A PETROBRAS (PETR4) informou ontem à noite, após o fechamento do... http://t.co/tOdUdKD8dF";Neutro
100;A última indicação da #GFSA3 resultou em 13.84 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
101;que linda era esa mina chabonnn;Neutro
103;Ativo c/ vol Financeiro Superior à sua MM21-16h: LREN3 MGLU3 MILS3 MRVE3 PINE4 SLCE3 SUZB5 USIM3 USIM5;Neutro
108;Encerramos Hering (HGTX3) com 4,99% de prejuízo. O Ibov continua correção porém a carteira do MB-EOD-1 está... http://t.co/tZEYyHGVe2;Negativo
110;"A LIGHT S.A. fechou o dia de hoje, ao preço de R$ 18,27 (-1,93%) com volume de R$ 22,94 mm.
$LIGT3";Neutro
112;Conheça as empresas que mais pagam dividendos no Ibovespa: O Santander (SANB11) é a empresa com o maior dividend... http://t.co/ixCZN72EkR;Neutro
114;#IBOV #VALE5 Minério de ferro na China recua à mínima de 20 meses: http://t.co/SfiSqGtvoz;Negativo
115;@Andresmoraes isso sem contar os 30% da #PETR4 ... o.O;Negativo
116;TEMPO REAL: Petrobras, Eletrobras e BB despencam, Vale sobe mais de 1%: Acompanhe aqui a atu... http://t.co/ZYP5EXzvBH #infomoney #vale5;Neutro
123;$PETR4 - Petrobras: Produção é prioridade no momento [Newsletter ADVFN] http://t.co/GSFIVOj2pd;Neutro
127;EU NÃO MEREÇO #Petr4 #Petr3 #CPIdaPetrobras http://t.co/0Lj5to6AWP;Negativo
128;Operação comentada na sexta sobre ITUB4 x BBDC4 caminhando na direção esperada!;Positivo
132;Análises de Resultados 4T13 - BRML3, FLRY3, MRVE3, SCAR3,SUZB5 por Ativa, Concódia, Coinvalores e XP em Boletins.http://t.co/qwST2T7ucy;Neutro
135;As Lojas Renner (LREN3) registrou lucro líquido consolidado de R$ 50,9 milhões (R$ 0,40 por ação) no primeiro trimestre de 2014, cresciment…;Positivo
137;28/04 O Ibovespa fechou estável, aos 51.395pts. Destaques: GOLL4 +4,04% e OIBR4 -5,98%. http://t.co/j9yUOf2ipY;Neutro
148;"Antecipamos aqui que ITUB4 passaria PETR4 em peso no IBOV. Hoje está saindo noticias confirmando. 
@ferrisss @dfittarelli";Positivo
149;A última indicação da #MRVE3 resultou em -3.25 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7;Neutro
154;RT @joanarauhl: a joana ta viciadinha num jogo;Negativo
156;Isto não é uma VACA é a PETROBRÁS!!! #PETR4 http://t.co/QLMpMdifmj;Negativo
157;Análise técnica para #VALE (VALE5) do mês de abril. http://t.co/EurZrfndGv;Positivo
161;RT @Navarro: Olha a #PETR4 ai... Leia 'Dívida da Petrobras aumenta seis vezes desde 2007 e atinge R$ 268 bilhões'  http://t.co/ApKXYCXtsR;Negativo
169;e tem início o leilão da #PETR4 ! De olho na abertura. =);Positivo
173;$AEDU3 - Anhanguera (aedu-nm) - Esclarecimentos http://t.co/uYs0DAO6M1;Neutro
174;$ELET3 - Eletrobras (elet-n1)- Material A Disposicao (indicacao De Candidatos) http://t.co/yIXX3MnjIO;Neutro
175;8 corretoras apontam as melhores ações para comprar nesta semana: Os papéis da Vale e do Pão... http://t.co/BYQAlss0OB #infomoney #vale5;Neutro
177;RT @valoramais: #PETR4 mais uma 'ótima' notícia para a Petrobomba!!! Rumo ao 0,01 http://t.co/haW8wgNzKP;Negativo
179;E aí amigos, tá bom de comprar PETR4 agora ou ainda cai mais um pouco (muito)?;Neutro
186;@Live_Trade @Jgrafista11 @aecioneto amigos, vêem venda na AEDU3? Obg;Neutro
187;VALE5 EM 04/04, tempo gráfico de 60 minutos. http://t.co/vPgt0CB6Qy;Neutro
189;$CYRE3 - Cyrela Realt (cyre-nm) - Demonstracoes Financeiras De 31/03/2014 (cons) http://t.co/XJ0GiprNLN;Neutro
193;RT @InutiliumX: Olha lá, @ferris !! A gente aqui da gestora jogamos a JBSS3 lá na mínima !! Eu cantei a pedra ontem !! Vamos recomprar lá n…;Positivo
198;#Ibovespa opera em queda de 0,27%, aos 51.973 pontos. Puxam o índice para baixo: #PETR4, VALE3, #OGXP3.;Neutro
199;#petr4 A jovenzinha tá preocupada..rsrsrs  Dilma tem encontro reservado com ministro do TCU. http://t.co/SgPoWh0AY6;Positivo
200;#BOVESPA #SUZB5 Suzano Papel e Celulose publica suas demonstrações financeiras anuais de 2013.  http://t.co/xnAwHPg9zU;Neutro
201;@ferrisss qual sua previsão para OIBR4?;Neutro
203;$FIBR3 - Fibria (fibr-nm)- Demonstracoes Financeiras Em Ingles De 31/03/2014 http://t.co/LQafhhsV5y;Neutro
204;#PETR4 #PETROBRAS a $13,13. Pronto! O #PT conseguiu fazer propaganda eleitoral antecipada O que a @dilmabr tem a dizer sobre isso? @ptbrasil;Negativo
206;"Ótima postagem sobre #PETR4 pelo usuário pridom no fórum da #ADVFN

$PETR4 http:";Neutro
