text,texto_unido,sentFator
"petr4 subiu na bolsa 13,50. muito bem, surpreso com o resultado.","petr4 subir o bolsar 13,50. muito bem , surpresar com o resultar .",Positivo
$lren3 - lojas renner (lren-nm) - ago - 17/04/2014 - 11h00 - dividendos http://t.co/3pjleqcepb,$ lren3 - loja renner ( lren-nm ) - ago - 17/04/2014 - 11h00 - dividendo http : //t.co/3pjleqcepb,Neutro
"vai, oibr4. um troux... ops... investidor precisa pagar as minhas férias.","ir , oibr4 . um troux ... ops ... investidor preciso pagar o meu féria .",Negativo
"r$13 ... que ironia hein ? ,) #petr4","r $ 13 ... que ironia hein ? , ) # petr4",Negativo
"11/04/14 - 17:18: maiores altas: krot3 4,17% r$48,75, cple6 3,62% r$30,94, aedu3 3,44% r$13,55, petr4 2,93% r$16,14, alll3 2,90% r$8,31.","11/04/14 - 17:18 : maior alto : krot3 4,17 % r $ 48,75 , cple6 3,62 % r $ 30,94 , aedu3 3,44 % r $ 13,55 , petr4 2,93 % r $ 16,14 , alll3 2,90 % r $ 8,31 .",Positivo
"a light s.a. fechou o dia de hoje ao preço de r$ 18,65 (-1,37%) com volume de r$ 22,14 mm.
$ligt3","o light s.a. fechar o dia de hoje ao preço de r $ 18,65 ( -1,37 % ) com volumar de r $ 22,14 m . $ ligt3",Neutro
$goll4 - gol anuncia os resultados do 1t14 http://t.co/avu5tnuz96,$ goll4 - gol anunciar o resultar do 1t14 http : //t.co/avu5tnuz96,Neutro
plano de demissao voluntária na petrobras já atrai 8mil… depois vao reclamar que nao tem especialistas… petr4 virando ogx,planar de demissao voluntário o petrobras já atrair 8mil… depois vao reclamar que nao ter especialistas… petr4 virar ogx,Negativo
lren3 caindo bem...,lren3 cair bem ...,Neutro
"vamos ver se mesmo em dia fraco, ganha alguma força ...rt @live_trade: #ecor3 fechando 15'  acima 12,53 já fica interessante","ir ver se mesmo em dia fraco , ganhar algum forçar ... rt @ live_trade : # ecor3 fechar 15 ' acima 12,53 já ficar interessante",Neutro
ativo c/ vol financeiro superior à sua mm21-14h:  bbse3 pine4,ativo c/ vol financeiro superior à suar mm21-14h : bbse3 pine4,Positivo
"@pardaldecastro  há fórum na net que vc pode entrar para aprender, basta cadastrar e não tenha vergonha de perguntar: http://t.co/awbfgy2wqu","@ pardaldecastro haver fórum o net que vc poder entrar parir aprender , basto cadastrar e não ter vergonha de perguntar : http : //t.co/awbfgy2wqu",Positivo
a última indicação da #mrve3 resultou em -1.36 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # mrve3 resultar em -1.36 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Negativo
"rastreamento ações-gráfico diário-14h. analise se romper:brfs3 46,67 brml3 19,81 bvmf3 11,20 ccro3 17,73 cpfe3 19,13 csmg3 36,79 ecor3 13,87","rastreamento ações-gráfico diário-14h . analisar se romper : brfs3 46,67 brml3 19,81 bvmf3 11,20 ccro3 17,73 cpfe3 19,13 csmg3 36,79 ecor3 13,87",Neutro
"@acoes_petr4 me doe 35 mil reais p eu comprar uma casa,estou desempregada e com nome sujo p eu dar uma vida digna as minhas filhas","@ acoes_petr4 me doar 35 mil real p eu comprar umar casar , estar desempregar e com nome sujar p eu dar umar vidar digno o meu filho",Negativo
elet3 minha linda!!! hoje vou beber um@vinho pra comemorar!!!,elet3 meu lindo ! ! ! hoje ir beber um @ vinho pra comemorar ! ! !,Positivo
"@folhaovento petrobras petr4 - lula capitalizou em 2010 a r$ 26,30. últimos 6 meses...março na bacia das almas! http://t.co/l00d2g2ato","@ folhaovento petrobras petr4 - lula capitalizar em 2010 o r $ 26,30. último 6 mês ... março o bacia das almo ! http : //t.co/l00d2g2ato",Neutro
"organização mundial de saúde faz incentivo ao aumento dos impostos no tabaco para salvar mais vidas, efeito da notícia foi venda na #cruz3","organização mundial de saudar fazer incentivar ao aumentar dos imposto o tabaco parir salvar mais vidar , efeito da notícia ser vender o # cruz3",Positivo
bonito ver o bradescão e o itaú brigando com o morgan stanley e o credit suiss no leilão final da abev3.,bonito ver o bradescão e o itaú brigar com o morgan stanley e o credit suiss o leilão final da abev3 .,Positivo
$rent3 - localiza (rent-nm) - demonstracoes financeiras de 31/12/2013 (individual) http://t.co/cil9udccbk,$ rent3 - localizar ( rent-nm ) - demonstracoes financeiro de 31/12/2013 ( individual ) http : //t.co/cil9udccbk,Neutro
"rastreamento ações-gráfico diário-16h. analise se romper: bbrk3 5,14 cple6 32,76 cyre3 13,71 goll4 12,72 igta3 22,13 itsa4 9,89 pcar4 106,63","rastreamento ações-gráfico diário-16h . analisar se romper : bbrk3 5,14 cple6 32,76 cyre3 13,71 goll4 12,72 igta3 22,13 itsa4 9,89 pcar4 106,63",Neutro
"a #petr4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. ineficiente, inflada e corrupta é quase um clone do gov.","o # petr4 cumprir o papel dela , ou ser , o empresar ser um retratar perfazer do governar . ineficiente , inflar e corrupto ser quase um clonar do gov .",Negativo
coisas extraordinarias só acontecem a pessoas extraordinarias  -ripchip,coisa extraordinarias só acontecer o pessoa extraordinarias -ripchip,Negativo
@caciqueinvest goll4 deu tempo de sobra pra pegar rsrsr,@ caciqueinvest goll4 dar tempo de sobrar pra pegar rsrsr,Positivo
"notas gerais

a petrobras (petr4) assinou com o grupo électricité de france contrato para a venda de sua... http://t.co/h3dmujvimq",noto gerar o petrobras ( petr4 ) assinar com o grupar électricité de france contratar parir o vender de suar ... http : //t.co/h3dmujvimq,Neutro
china anunciou um plano de incentivo à economia. o governo chinês pretende aumentar os investimentos em ferrovias e moradias. bom p/ #vale5.,chino anunciar um planar de incentivar à economia . o governar chinês pretender aumentar o investimento em ferrovia e moradia . bom p/ # vale5 .,Positivo
a última indicação da #mrfg3 resultou em -1.26 %. confira a nova indicação agora em http://t.co/kgt1yitbf7,o último indicação da # mrfg3 resultar em -1.26 % . conferir o novo indicação agora em http : //t.co/kgt1yitbf7,Neutro
